Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","258","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","14.731","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","96.286","X","International reliable sources",""
"OA","Annual population","9","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","44361.15","X","International reliable sources",""
"OA","Annual population","22","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","105.845","X","International reliable sources",""
"OA","Annual population","12","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","385.637","X","International reliable sources",""
"OA","Annual population","14","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","286.641","X","International reliable sources",""
"OA","Annual population","23","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","383.071","X","International reliable sources",""
"OA","Annual population","17","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","62.756","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11353.142","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25.711","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","209469.323","X","International reliable sources",""
"OA","Annual population","239","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","29.802","X","International reliable sources",""
"OA","Annual population","33","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37074.562","X","International reliable sources",""
"OA","Annual population","36","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","64.174","X","International reliable sources",""
"OA","Annual population","40","Chile","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","18729.16","X","International reliable sources",""
"OA","Annual population","44","Colombia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","49661.048","X","International reliable sources",""
"OA","Annual population","48","Costa Rica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4999.441","X","International reliable sources",""
"OA","Annual population","49","Cuba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11338.134","X","International reliable sources",""
"OA","Annual population","279","Curaçao","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","162.752","X","International reliable sources",""
"OA","Annual population","55","Dominica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","71.625","X","International reliable sources",""
"OA","Annual population","56","Dominican Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","10627.141","X","International reliable sources",""
"OA","Annual population","58","Ecuador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17084.358","X","International reliable sources",""
"OA","Annual population","60","El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6420.746","X","International reliable sources",""
"OA","Annual population","65","Falkland Islands (Malvinas)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3.234","X","International reliable sources",""
"OA","Annual population","69","French Guyana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","282.938","X","International reliable sources",""
"OA","Annual population","85","Greenland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","56.564","X","International reliable sources",""
"OA","Annual population","86","Grenada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","111.454","X","International reliable sources",""
"OA","Annual population","87","Guadeloupe","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","399.848","X","International reliable sources",""
"OA","Annual population","89","Guatemala","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17247.849","X","International reliable sources",""
"OA","Annual population","91","Guyana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","779.006","X","International reliable sources",""
"OA","Annual population","93","Haiti","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11123.178","X","International reliable sources",""
"OA","Annual population","95","Honduras","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9587.522","X","International reliable sources",""
"OA","Annual population","109","Jamaica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2934.847","X","International reliable sources",""
"OA","Annual population","135","Martinique","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","375.673","X","International reliable sources",""
"OA","Annual population","138","Mexico","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","126190.788","X","International reliable sources",""
"OA","Annual population","142","Montserrat","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4.993","X","International reliable sources",""
"OA","Annual population","151","Netherlands Antilles (former)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","277.483","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","157","Nicaragua","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6465.501","X","International reliable sources",""
"OA","Annual population","166","Panama","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4176.869","X","International reliable sources",""
"OA","Annual population","169","Paraguay","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6956.066","X","International reliable sources",""
"OA","Annual population","170","Peru","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","31989.26","X","International reliable sources",""
"OA","Annual population","177","Puerto Rico","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3039.596","X","International reliable sources",""
"OA","Annual population","282","Saint Barthélemy","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9.816","X","International reliable sources",""
"OA","Annual population","188","Saint Kitts and Nevis","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","52.441","X","International reliable sources",""
"OA","Annual population","189","Saint Lucia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","181.889","X","International reliable sources",""
"OA","Annual population","190","Saint Pierre and Miquelon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","5.849","X","International reliable sources",""
"OA","Annual population","191","Saint Vincent and the Grenadines","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","110.211","X","International reliable sources",""
"OA","Annual population","281","Saint-Martin (French part)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37.264","X","International reliable sources",""
"OA","Annual population","280","Sint Maarten  (Dutch part)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","41.94","X","International reliable sources",""
"OA","Annual population","207","Suriname","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","575.99","X","International reliable sources",""
"OA","Annual population","220","Trinidad and Tobago","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1389.843","X","International reliable sources",""
"OA","Annual population","224","Turks and Caicos Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37.665","X","International reliable sources",""
"OA","Annual population","231","United States of America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","327096.265","X","International reliable sources",""
"OA","Annual population","240","United States Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","104.68","X","International reliable sources",""
"OA","Annual population","234","Uruguay","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3449.285","X","International reliable sources",""
"OA","Annual population","236","Venezuela (Bolivarian Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","28887.118","X","International reliable sources",""
