Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
OA,Annual population,2,Afghanistan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,37171.921,X,International reliable sources,
OA,Annual population,1,Armenia,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,2951.745,X,International reliable sources,
OA,Annual population,52,Azerbaijan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,9949.537,X,International reliable sources,
OA,Annual population,13,Bahrain,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,1569.446,X,International reliable sources,
OA,Annual population,16,Bangladesh,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,161376.708,X,International reliable sources,
OA,Annual population,18,Bhutan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,754.388,X,International reliable sources,
OA,Annual population,26,Brunei Darussalam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,428.963,X,International reliable sources,
OA,Annual population,115,Cambodia,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,16249.792,X,International reliable sources,
OA,Annual population,96,"China, Hong Kong SAR",511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,7371.73,X,International reliable sources,
OA,Annual population,128,"China, Macao SAR",511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,631.636,X,International reliable sources,
OA,Annual population,41,China,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,1427647.786,X,International reliable sources,
OA,Annual population,214,"China, Taiwan Province of",511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,23726.46,X,International reliable sources,
OA,Annual population,50,Cyprus,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,1189.265,X,International reliable sources,
OA,Annual population,116,Democratic People's Republic of Korea,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,25549.604,X,International reliable sources,
OA,Annual population,73,Georgia,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,4002.942,X,International reliable sources,
OA,Annual population,100,India,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,1352642.28,X,International reliable sources,
OA,Annual population,101,Indonesia,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,267670.543,X,International reliable sources,
OA,Annual population,102,Iran (Islamic Republic of),511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,81800.188,X,International reliable sources,
OA,Annual population,103,Iraq,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,38433.6,X,International reliable sources,
OA,Annual population,105,Israel,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,8381.516,X,International reliable sources,
OA,Annual population,110,Japan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,127202.192,X,International reliable sources,
OA,Annual population,112,Jordan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,9965.318,X,International reliable sources,
OA,Annual population,108,Kazakhstan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,18319.618,X,International reliable sources,
OA,Annual population,118,Kuwait,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,4137.312,X,International reliable sources,
OA,Annual population,113,Kyrgyzstan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,6304.03,X,International reliable sources,
