,Name of country,People per Mcdo,Unnamed: 0,Origin,New_value,Country Code
0, United States,23130,,,,
1,Canada,25560,3906.0,Canada,Canada,CAN
2,Puerto Rico,29583,52770.0,Puerto Rico,Puerto Rico,PRI
3,U.S. Virgin Islands,17878,,,,
4, Costa Rica,90852,,,,
5, Australia,26739,,,,
6,Guam,27372,46470.0,Guam,Guam,GUM
7, Japan,42622,,,,
8, Netherlands,69714,,,,
9, Panama,71912,,,,
10, Germany,55939,,,,
11,France,47209,7812.0,France,France,FRA
12, El Salvador,318900,,,,
13, Sweden,44422,,,,
14, Guatemala,179894,,,,
15,Curaçao,32203,111718.0,Curaçao,Curacao,CUW
16, United Kingdom,51837,,,,
17,Hong Kong,31190,,,,
18, Bahamas,131787,,,,
19,New Zealand,28880,15372.0,New Zealand,New Zealand,NZL
20,  Switzerland,50419,,,,
21, Ireland,53753,,,,
22, Austria,45456,,,,
23, Belgium,153378,,,,
24, Brazil,257759,,,,
25, Singapore,41265,,,,
26, Spain,91788,,,,
27, Denmark,64596,,,,
28,Philippines,163173,17010.0,Philippines,Philippines,PHL
29, Malaysia,100701,,,,
30, Norway,72027,,,,
31, Taiwan ,57094,,,,
32, Andorra,15393,,,,
33, Finland,84662,,,,
34, Thailand,287667,,,,
35, Italy,103500,,,,
36,Aruba,26316,41550.0,Aruba,Aruba,ABW
37, Luxembourg,59067,,,,
38, Venezuela,240451,,,,
39, Mexico,321393,,,,
40, Cuba,11480000,,,,
41, Turkey,312980,,,,
42, Argentina,199414,,,,
43,Macau,23058,,,,
44,Serbia,234067,19278.0,Serbia,Serbia,SRB
45, South Korea,115145,,,,
46,Hungary,111341,9576.0,Hungary,Hungary,HUN
47,Russia,195911,25392.0,Russia,Russia,RUS
48, China ,513333,,,,
49, Chile,234416,,,,
50, Indonesia,1552941,,,,
51, Portugal,69662,,,,
52, Greece,448750,,,,
53, Uruguay,164619,,,,
54, Martinique,40484,,,,
55,Czech Republic,106868,24834.0,Czech Republic,Czech Republic,CZE
56, Guadeloupe,47838,,,,
57, Poland,86894,,,,
58, Monaco,19348,,,,
59, Brunei,142899,,,,
60, Morocco,750553,,,,
61,Northern Marianas,27572,,,,
62,Israel,47092,10458.0,Israel,Israel,ISR
63, Slovenia,103300,,,,
64, Saudi Arabia,125247,,,,
65, Kuwait,57458,,,,
66,New Caledonia,140230,51270.0,New Caledonia,New Caledonia,NCL
67, Oman,201565,,,,
68, Egypt,937981,,,,
69, Bulgaria,200001,,,,
70, Bahrain,64913,,,,
71, Latvia,147690,,,,
72, United Arab Emirates,56970,,,,
73, Estonia,132482,,,,
74, Romania,280571,,,,
75, Malta,46023,,,,
76, Colombia,605803,,,,
77, Slovakia,181167,,,,
78, South Africa,252089,,,,
79, Qatar,62833,,,,
80, Honduras,842273,,,,
81,Sint Maarten,13703,,,,
82, Croatia,122425,,,,
83,Samoa,196440,18648.0,Samoa,Samoa,WSM
84, Fiji,226376,,,,
85, Liechtenstein,37810,,,,
86, Lithuania,199586,,,,
87, India,4617241,,,,
88, Peru,804250,,,,
89, Jordan,312968,,,,
90, Paraguay,358474,,,,
91, Dominican Republic,347419,,,,
92,French Polynesia,47167,45870.0,French Polynesia,French Polynesia,PYF
93, Belarus,633867,,,,
94, Trinidad and Tobago,228167,,,,
95, Ukraine,451612,,,,
96, Cyprus,47489,,,,
97,Jersey,100080,,,,
98, Ecuador,566667,,,,
99,Reunion,216627,,,,
100,Isle of Man,84287,47790.0,Isle of Man,Isle of Man,IMN
101, Suriname,281701,,,,
102, Moldova,710000,,,,
103, Nicaragua,1036333,,,,
104, Lebanon,264435,,,,
105,Pakistan,1858491,16254.0,Pakistan,Pakistan,PAK
106, Sri Lanka,3062857,,,,
107, Georgia,265500,,,,
108,Gibraltar,34571,46230.0,Gibraltar,Gibraltar,GIB
109, Azerbaijan,657467,,,,
110,French Guiana,148356,,,,
111,American Samoa,27821,41130.0,American Samoa,American Samoa,ASM
112, Mauritius,180714,,,,
113, Iraq,38270000,,,,
114, Bosnia and Herzegovina,876750,,,,
115, Vietnam,5620000,,,,
116, Kazakhstan,1288571,,,,
