Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","5","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","55.465","X","International reliable sources",""
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","24898.152","X","International reliable sources",""
"OA","Annual population","47","Cook Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17.518","X","International reliable sources",""
"OA","Annual population","66","Fiji","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","883.483","X","International reliable sources",""
"OA","Annual population","70","French Polynesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","277.679","X","International reliable sources",""
"OA","Annual population","88","Guam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","165.768","X","International reliable sources",""
"OA","Annual population","83","Kiribati","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","115.847","X","International reliable sources",""
"OA","Annual population","127","Marshall Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","58.413","X","International reliable sources",""
"OA","Annual population","145","Micronesia (Federated States of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","112.64","X","International reliable sources",""
"OA","Annual population","148","Nauru","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","10.67","X","International reliable sources",""
"OA","Annual population","153","New Caledonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","279.993","X","International reliable sources",""
"OA","Annual population","156","New Zealand","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4743.131","X","International reliable sources",""
"OA","Annual population","160","Niue","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1.62","X","International reliable sources",""
"OA","Annual population","163","Northern Mariana Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","56.882","X","International reliable sources",""
"OA","Annual population","180","Palau","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17.907","X","International reliable sources",""
"OA","Annual population","168","Papua New Guinea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","8606.323","X","International reliable sources",""
"OA","Annual population","244","Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","196.129","X","International reliable sources",""
"OA","Annual population","25","Solomon Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","652.857","X","International reliable sources",""
"OA","Annual population","218","Tokelau","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1.319","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","219","Tonga","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","103.197","X","International reliable sources",""
"OA","Annual population","227","Tuvalu","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11.508","X","International reliable sources",""
"OA","Annual population","155","Vanuatu","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","292.68","X","International reliable sources",""
"OA","Annual population","243","Wallis and Futuna Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11.661","X","International reliable sources",""
