"","","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)"
"Country","Year"," Both sexes"," Male"," Female"
"Afghanistan"," 2016","88.1 [84.0-91.3]","88.5 [84.5-91.5]","87.8 [83.5-91.1]"
"Afghanistan"," 2015","88.0 [83.9-91.2]","88.3 [84.3-91.4]","87.7 [83.4-91.0]"
"Afghanistan"," 2014","87.9 [83.8-91.1]","88.2 [84.1-91.3]","87.7 [83.4-91.0]"
"Afghanistan"," 2013","87.8 [83.6-91.0]","88.0 [83.9-91.1]","87.6 [83.3-91.0]"
"Afghanistan"," 2012","87.7 [83.5-91.0]","87.8 [83.7-91.0]","87.6 [83.2-90.9]"
"Afghanistan"," 2011","87.6 [83.3-90.9]","87.7 [83.5-90.9]","87.5 [83.2-90.9]"
"Afghanistan"," 2010","87.5 [83.2-90.8]","87.5 [83.3-90.7]","87.5 [83.1-90.8]"
"Afghanistan"," 2009","87.4 [83.0-90.7]","87.3 [83.1-90.6]","87.4 [83.0-90.8]"
"Afghanistan"," 2008","87.2 [82.9-90.6]","87.1 [82.8-90.5]","87.3 [82.9-90.8]"
"Afghanistan"," 2007","87.1 [82.7-90.5]","87.0 [82.6-90.4]","87.3 [82.8-90.7]"
"Afghanistan"," 2006","87.0 [82.6-90.5]","86.8 [82.4-90.2]","87.2 [82.7-90.7]"
"Afghanistan"," 2005","86.9 [82.4-90.4]","86.6 [82.1-90.1]","87.2 [82.7-90.6]"
"Afghanistan"," 2004","86.8 [82.2-90.3]","86.4 [81.9-90.0]","87.1 [82.6-90.6]"
"Afghanistan"," 2003","86.6 [82.0-90.2]","86.3 [81.6-89.9]","87.1 [82.5-90.6]"
"Afghanistan"," 2002","86.5 [81.9-90.1]","86.1 [81.4-89.7]","87.0 [82.4-90.6]"
"Afghanistan"," 2001","86.4 [81.7-90.0]","85.9 [81.1-89.6]","86.9 [82.3-90.5]"
"Albania"," 2016","73.9 [70.1-77.3]","67.6 [63.4-71.5]","80.6 [77.3-83.5]"
"Albania"," 2015","74.0 [70.4-77.4]","67.9 [63.8-71.7]","80.6 [77.3-83.5]"
"Albania"," 2014","74.2 [70.6-77.5]","68.2 [64.2-72.0]","80.5 [77.3-83.4]"
"Albania"," 2013","74.3 [70.8-77.6]","68.5 [64.6-72.2]","80.5 [77.3-83.4]"
"Albania"," 2012","74.5 [70.9-77.7]","68.8 [65.0-72.4]","80.5 [77.3-83.4]"
"Albania"," 2011","74.6 [71.1-77.8]","69.1 [65.3-72.7]","80.5 [77.3-83.3]"
"Albania"," 2010","74.7 [71.3-77.9]","69.4 [65.7-72.9]","80.5 [77.3-83.3]"
"Albania"," 2009","74.9 [71.4-78.0]","69.7 [66.0-73.2]","80.4 [77.3-83.3]"
"Albania"," 2008","75.0 [71.6-78.2]","70.0 [66.3-73.4]","80.4 [77.2-83.3]"
"Albania"," 2007","75.2 [71.7-78.3]","70.3 [66.6-73.7]","80.4 [77.2-83.3]"
"Albania"," 2006","75.3 [71.9-78.5]","70.6 [66.9-74.0]","80.4 [77.2-83.3]"
"Albania"," 2005","75.5 [72.1-78.7]","70.9 [67.2-74.2]","80.4 [77.1-83.3]"
"Albania"," 2004","75.7 [72.2-78.8]","71.1 [67.5-74.5]","80.3 [77.1-83.3]"
"Albania"," 2003","75.8 [72.3-79.0]","71.4 [67.8-74.8]","80.3 [77.0-83.3]"
"Albania"," 2002","76.0 [72.4-79.1]","71.7 [68.1-75.1]","80.3 [76.9-83.3]"
"Albania"," 2001","76.1 [72.5-79.3]","72.0 [68.3-75.4]","80.3 [76.9-83.3]"
"Algeria"," 2016","83.8 [81.2-86.1]","76.4 [73.0-79.6]","91.3 [89.7-92.7]"
"Algeria"," 2015","83.8 [81.3-86.1]","76.6 [73.2-79.7]","91.3 [89.7-92.7]"
"Algeria"," 2014","83.9 [81.3-86.1]","76.7 [73.4-79.8]","91.3 [89.6-92.7]"
"Algeria"," 2013","83.9 [81.4-86.2]","76.9 [73.6-79.9]","91.2 [89.6-92.6]"
"Algeria"," 2012","84.0 [81.5-86.2]","77.0 [73.7-80.0]","91.2 [89.6-92.6]"
"Algeria"," 2011","84.0 [81.6-86.2]","77.2 [73.9-80.1]","91.2 [89.5-92.6]"
"Algeria"," 2010","84.1 [81.6-86.3]","77.3 [74.1-80.3]","91.1 [89.5-92.5]"
"Algeria"," 2009","84.2 [81.7-86.3]","77.5 [74.2-80.4]","91.1 [89.4-92.5]"
"Algeria"," 2008","84.2 [81.8-86.4]","77.6 [74.4-80.6]","91.0 [89.4-92.5]"
"Algeria"," 2007","84.3 [81.8-86.5]","77.8 [74.5-80.7]","91.0 [89.3-92.4]"
"Algeria"," 2006","84.3 [81.8-86.5]","77.9 [74.7-80.8]","91.0 [89.3-92.4]"
"Algeria"," 2005","84.4 [81.9-86.6]","78.1 [74.8-81.0]","90.9 [89.2-92.4]"
"Algeria"," 2004","84.4 [81.9-86.7]","78.2 [74.9-81.2]","90.9 [89.1-92.4]"
"Algeria"," 2003","84.5 [81.9-86.7]","78.4 [75.1-81.3]","90.9 [89.1-92.4]"
"Algeria"," 2002","84.5 [81.9-86.8]","78.5 [75.2-81.5]","90.8 [89.0-92.4]"
"Algeria"," 2001","84.6 [82.0-86.9]","78.6 [75.3-81.7]","90.8 [88.9-92.3]"
"Andorra"," 2010","No data","No data","No data"
"Angola"," 2010","No data","No data","No data"
"Antigua and Barbuda"," 2016","79.2 [75.8-82.3]","73.9 [69.9-77.5]","84.6 [81.7-87.1]"
"Antigua and Barbuda"," 2015","79.4 [76.0-82.4]","74.2 [70.3-77.8]","84.6 [81.7-87.1]"
"Antigua and Barbuda"," 2014","79.5 [76.2-82.5]","74.5 [70.7-78.0]","84.6 [81.8-87.1]"
"Antigua and Barbuda"," 2013","79.7 [76.4-82.6]","74.8 [71.1-78.2]","84.7 [81.9-87.1]"
"Antigua and Barbuda"," 2012","79.9 [76.7-82.7]","75.1 [71.4-78.4]","84.7 [81.9-87.1]"
"Antigua and Barbuda"," 2011","80.0 [76.9-82.9]","75.4 [71.8-78.6]","84.7 [82.0-87.1]"
"Antigua and Barbuda"," 2010","80.2 [77.1-83.0]","75.6 [72.1-78.8]","84.7 [82.1-87.1]"
"Antigua and Barbuda"," 2009","80.4 [77.4-83.1]","75.9 [72.5-79.1]","84.8 [82.1-87.1]"
"Antigua and Barbuda"," 2008","80.6 [77.6-83.3]","76.2 [72.8-79.3]","84.8 [82.2-87.1]"
"Antigua and Barbuda"," 2007","80.8 [77.8-83.4]","76.5 [73.1-79.5]","84.8 [82.2-87.1]"
"Antigua and Barbuda"," 2006","81.0 [78.0-83.6]","76.8 [73.4-79.8]","84.8 [82.2-87.1]"
"Antigua and Barbuda"," 2005","81.1 [78.2-83.7]","77.0 [73.7-80.0]","84.9 [82.3-87.1]"
"Antigua and Barbuda"," 2004","81.3 [78.4-83.9]","77.3 [74.0-80.3]","84.9 [82.3-87.2]"
"Antigua and Barbuda"," 2003","81.4 [78.5-84.0]","77.6 [74.3-80.5]","84.9 [82.3-87.2]"
"Antigua and Barbuda"," 2002","81.6 [78.7-84.2]","77.8 [74.6-80.8]","84.9 [82.3-87.2]"
"Antigua and Barbuda"," 2001","81.7 [78.8-84.3]","78.1 [74.8-81.0]","85.0 [82.3-87.3]"
"Argentina"," 2016","84.8 [82.3-87.0]","79.9 [76.9-82.6]","89.9 [88.0-91.5]"
"Argentina"," 2015","84.8 [82.4-87.0]","80.0 [77.0-82.7]","89.8 [88.0-91.4]"
"Argentina"," 2014","84.9 [82.5-87.0]","80.1 [77.1-82.7]","89.8 [88.0-91.4]"
"Argentina"," 2013","84.9 [82.5-87.0]","80.2 [77.2-82.8]","89.8 [88.0-91.4]"
"Argentina"," 2012","84.9 [82.6-87.1]","80.2 [77.3-82.9]","89.8 [88.0-91.4]"
"Argentina"," 2011","85.0 [82.6-87.1]","80.3 [77.4-82.9]","89.8 [88.0-91.4]"
"Argentina"," 2010","85.0 [82.6-87.1]","80.4 [77.5-83.0]","89.8 [88.0-91.4]"
"Argentina"," 2009","85.0 [82.7-87.1]","80.5 [77.6-83.1]","89.8 [87.9-91.4]"
"Argentina"," 2008","85.1 [82.7-87.2]","80.5 [77.7-83.1]","89.8 [87.9-91.4]"
"Argentina"," 2007","85.1 [82.7-87.2]","80.6 [77.8-83.2]","89.7 [87.9-91.3]"
"Argentina"," 2006","85.1 [82.8-87.3]","80.7 [77.8-83.3]","89.7 [87.9-91.3]"
"Argentina"," 2005","85.2 [82.8-87.3]","80.8 [77.9-83.4]","89.7 [87.8-91.4]"
"Argentina"," 2004","85.2 [82.8-87.4]","80.9 [77.9-83.5]","89.7 [87.8-91.4]"
"Argentina"," 2003","85.3 [82.8-87.4]","80.9 [78.0-83.6]","89.7 [87.8-91.4]"
"Argentina"," 2002","85.3 [82.8-87.5]","81.0 [78.0-83.7]","89.7 [87.7-91.4]"
"Argentina"," 2001","85.3 [82.8-87.5]","81.1 [78.1-83.8]","89.7 [87.7-91.4]"
"Armenia"," 2016","77.7 [74.3-80.8]","73.0 [69.2-76.5]","82.8 [79.8-85.4]"
"Armenia"," 2015","77.9 [74.5-80.9]","73.3 [69.6-76.7]","82.8 [79.9-85.4]"
"Armenia"," 2014","78.0 [74.7-80.9]","73.5 [69.9-76.9]","82.9 [80.0-85.4]"
"Armenia"," 2013","78.1 [74.8-81.0]","73.8 [70.2-77.1]","82.9 [80.1-85.5]"
"Armenia"," 2012","78.1 [74.9-81.1]","74.1 [70.5-77.3]","83.0 [80.1-85.5]"
"Armenia"," 2011","78.2 [75.0-81.1]","74.3 [70.8-77.5]","83.0 [80.2-85.5]"
"Armenia"," 2010","78.3 [75.1-81.2]","74.6 [71.1-77.7]","83.1 [80.3-85.6]"
"Armenia"," 2009","78.5 [75.3-81.3]","74.8 [71.4-78.0]","83.1 [80.3-85.6]"
"Armenia"," 2008","78.7 [75.5-81.5]","75.1 [71.6-78.2]","83.2 [80.3-85.6]"
"Armenia"," 2007","78.9 [75.7-81.7]","75.3 [71.9-78.4]","83.2 [80.4-85.7]"
"Armenia"," 2006","79.1 [76.0-82.0]","75.6 [72.2-78.7]","83.3 [80.4-85.8]"
"Armenia"," 2005","79.3 [76.2-82.2]","75.8 [72.4-78.9]","83.3 [80.5-85.8]"
"Armenia"," 2004","79.6 [76.4-82.4]","76.1 [72.6-79.2]","83.4 [80.5-85.9]"
"Armenia"," 2003","79.7 [76.6-82.6]","76.3 [72.9-79.4]","83.4 [80.5-85.9]"
"Armenia"," 2002","79.9 [76.7-82.8]","76.5 [73.1-79.7]","83.4 [80.5-86.0]"
"Armenia"," 2001","80.1 [76.9-83.0]","76.8 [73.3-79.9]","83.5 [80.5-86.1]"
"Australia"," 2016","89.0 [87.3-90.5]","86.8 [84.8-88.5]","91.4 [90.0-92.6]"
"Australia"," 2015","88.9 [87.2-90.4]","86.6 [84.7-88.3]","91.4 [90.0-92.6]"
"Australia"," 2014","88.8 [87.1-90.2]","86.4 [84.5-88.0]","91.3 [90.0-92.5]"
"Australia"," 2013","88.6 [87.0-90.1]","86.2 [84.3-87.8]","91.3 [89.9-92.5]"
"Australia"," 2012","88.5 [86.9-89.9]","85.9 [84.1-87.6]","91.3 [89.9-92.4]"
"Australia"," 2011","88.4 [86.8-89.8]","85.7 [83.9-87.4]","91.2 [89.9-92.4]"
"Australia"," 2010","88.2 [86.7-89.6]","85.5 [83.7-87.1]","91.2 [89.9-92.3]"
"Australia"," 2009","88.1 [86.6-89.5]","85.3 [83.5-86.9]","91.1 [89.8-92.3]"
"Australia"," 2008","88.0 [86.4-89.4]","85.1 [83.3-86.7]","91.1 [89.8-92.3]"
"Australia"," 2007","87.8 [86.3-89.2]","84.9 [83.1-86.5]","91.1 [89.8-92.2]"
"Australia"," 2006","87.7 [86.2-89.1]","84.6 [82.9-86.3]","91.0 [89.7-92.2]"
"Australia"," 2005","87.6 [86.0-89.0]","84.4 [82.6-86.0]","91.0 [89.7-92.2]"
"Australia"," 2004","87.5 [85.9-88.9]","84.2 [82.4-85.8]","91.0 [89.6-92.1]"
"Australia"," 2003","87.3 [85.7-88.8]","83.9 [82.1-85.6]","90.9 [89.6-92.1]"
"Australia"," 2002","87.2 [85.6-88.7]","83.7 [81.8-85.4]","90.9 [89.5-92.1]"
"Australia"," 2001","87.0 [85.4-88.5]","83.5 [81.6-85.2]","90.8 [89.4-92.1]"
"Austria"," 2016","77.8 [74.8-80.5]","71.2 [67.7-74.5]","84.5 [82.1-86.7]"
"Austria"," 2015","77.9 [75.0-80.5]","71.5 [68.1-74.6]","84.5 [82.1-86.6]"
"Austria"," 2014","78.0 [75.1-80.6]","71.7 [68.4-74.8]","84.5 [82.1-86.6]"
"Austria"," 2013","78.1 [75.3-80.6]","72.0 [68.8-74.9]","84.5 [82.2-86.5]"
"Austria"," 2012","78.2 [75.5-80.7]","72.2 [69.1-75.1]","84.5 [82.2-86.5]"
"Austria"," 2011","78.3 [75.7-80.7]","72.4 [69.4-75.2]","84.4 [82.2-86.4]"
"Austria"," 2010","78.4 [75.8-80.8]","72.7 [69.7-75.4]","84.4 [82.2-86.4]"
"Austria"," 2009","78.5 [76.0-80.9]","72.9 [70.0-75.6]","84.4 [82.2-86.4]"
"Austria"," 2008","78.6 [76.1-80.9]","73.1 [70.3-75.8]","84.4 [82.2-86.4]"
"Austria"," 2007","78.7 [76.3-81.0]","73.4 [70.6-75.9]","84.4 [82.2-86.4]"
"Austria"," 2006","78.9 [76.4-81.1]","73.6 [70.9-76.1]","84.4 [82.2-86.3]"
"Austria"," 2005","79.0 [76.5-81.2]","73.8 [71.1-76.3]","84.4 [82.2-86.3]"
"Austria"," 2004","79.1 [76.6-81.3]","74.0 [71.4-76.5]","84.4 [82.2-86.3]"
"Austria"," 2003","79.2 [76.7-81.4]","74.3 [71.6-76.7]","84.4 [82.1-86.3]"
"Austria"," 2002","79.3 [76.8-81.5]","74.5 [71.8-77.0]","84.3 [82.1-86.3]"
"Austria"," 2001","79.4 [76.9-81.7]","74.7 [72.1-77.2]","84.3 [82.1-86.4]"
"Azerbaijan"," 2010","No data","No data","No data"
"Bahamas"," 2016","84.4 [82.0-86.5]","80.6 [77.9-83.1]","88.2 [86.3-89.9]"
"Bahamas"," 2015","84.4 [82.1-86.5]","80.7 [78.0-83.1]","88.2 [86.3-89.9]"
"Bahamas"," 2014","84.4 [82.1-86.5]","80.8 [78.1-83.2]","88.2 [86.3-89.9]"
"Bahamas"," 2013","84.5 [82.2-86.5]","80.8 [78.2-83.2]","88.2 [86.3-89.9]"
"Bahamas"," 2012","84.5 [82.2-86.5]","80.9 [78.2-83.2]","88.2 [86.3-89.9]"
"Bahamas"," 2011","84.5 [82.3-86.5]","80.9 [78.3-83.3]","88.2 [86.3-89.9]"
"Bahamas"," 2010","84.5 [82.3-86.5]","81.0 [78.4-83.3]","88.2 [86.3-89.8]"
"Bahamas"," 2009","84.6 [82.3-86.6]","81.0 [78.4-83.4]","88.2 [86.3-89.8]"
"Bahamas"," 2008","84.6 [82.3-86.6]","81.1 [78.5-83.4]","88.2 [86.3-89.8]"
"Bahamas"," 2007","84.6 [82.3-86.6]","81.1 [78.5-83.5]","88.2 [86.2-89.8]"
"Bahamas"," 2006","84.6 [82.3-86.7]","81.2 [78.5-83.5]","88.2 [86.2-89.9]"
"Bahamas"," 2005","84.7 [82.3-86.7]","81.2 [78.6-83.6]","88.1 [86.2-89.9]"
"Bahamas"," 2004","84.7 [82.3-86.8]","81.3 [78.6-83.7]","88.1 [86.1-89.9]"
"Bahamas"," 2003","84.7 [82.3-86.8]","81.3 [78.6-83.8]","88.1 [86.1-89.9]"
"Bahamas"," 2002","84.7 [82.3-86.9]","81.4 [78.6-83.8]","88.1 [86.0-89.9]"
"Bahamas"," 2001","84.8 [82.3-86.9]","81.4 [78.6-83.9]","88.1 [86.0-89.9]"
"Bahrain"," 2016","81.0 [77.9-83.7]","75.0 [71.3-78.4]","87.4 [85.0-89.5]"
"Bahrain"," 2015","81.1 [78.1-83.8]","75.2 [71.5-78.5]","87.4 [85.1-89.5]"
"Bahrain"," 2014","81.1 [78.1-83.8]","75.4 [71.8-78.7]","87.4 [85.1-89.5]"
"Bahrain"," 2013","81.1 [78.1-83.8]","75.6 [72.0-78.8]","87.5 [85.1-89.5]"
"Bahrain"," 2012","81.2 [78.2-83.9]","75.8 [72.2-79.0]","87.5 [85.1-89.5]"
"Bahrain"," 2011","81.4 [78.4-84.0]","75.9 [72.4-79.1]","87.5 [85.2-89.5]"
"Bahrain"," 2010","81.7 [78.7-84.3]","76.1 [72.6-79.3]","87.5 [85.2-89.5]"
"Bahrain"," 2009","81.7 [78.8-84.3]","76.3 [72.8-79.5]","87.5 [85.2-89.5]"
"Bahrain"," 2008","81.8 [78.9-84.4]","76.5 [73.0-79.6]","87.5 [85.2-89.5]"
"Bahrain"," 2007","81.9 [79.0-84.5]","76.7 [73.2-79.8]","87.5 [85.2-89.5]"
