Country,Year,Country Code,child_obesity%,adult_obesity_Both sexes,adult_obesity_Male,adult_obesity_Female,percentage_pop_urban,Total Population - Both sexes,Total Population - Male,Total Population - Female,pop_undernourrish,adult_lsport_bothsex,adult_lsport_male,adult_lsport_female,child_lsport_bothsex,child_lsport_male,child_lsport_female,PIB/hab in $,Fat_supply_quantity(g_capita_day),Food_supply(kcal_capita_day),Protein_supply_quantity(g/capita/day),Fat_supply_kcal_capita_day,Percentage_supply_fat_capita_day,animal_tne,vegetal_tne,part_aliments_animaux,Continent,%Use_of_Mental_disorders_substance,Alcohol_kcal_day_capita,People per Mcdo,child_obesity_nb,adult_obesity_Both sexes_nb,adult_obesity_Male_nb,adult_obesity_Female_nb,Africa,Americas,Asia,Oceania,Europe,Kmeans
Algeria,2016,DZA,0.29,0.274,0.199,0.349,0.71459,40551392,20069497,20481901,0.0321,0.336,0.269,0.402,0.838,0.764,0.913,3941.14187,80.5,3359,92.45,724.5,0.215689193212266,13858,48279,0.223,Africa,0.145340841594,6,,11592426,11111081,3993830,7148183,1,0,0,0,0,0
Argentina,2016,ARG,0.17449,0.283,0.273,0.29,0.91627,43508460,22302860,21205599,0.0299,0.416,0.376,0.453,0.848,0.799,0.899,12715.279262,119.01,3219,102.79,1071.09,0.332739981360671,27106,37732,0.4181,Americas,0.157289372947,89,199414,7591791,12312894,6088681,6149624,0,1,0,0,0,1
Armenia,2016,ARM,0.33885,0.202,0.171,0.23,0.63082,2936143,1555133,1381014,0.0341,0.226,0.233,0.221,0.777,0.73,0.828,3605.743486,96.98,3059,96.5,872.82,0.28532853873815,1658,4165,0.2847,Asia,0.106890016623,13,,994912,593101,265928,317633,0,0,1,0,0,0
Australia,2016,AUS,0.25814,0.29,0.296,0.284,0.858,24262712,12177326,12085384,0,0.304,0.27,0.336,0.89,0.868,0.914,54368.913996,153.68,3316,108.14,1383.12,0.417104945717732,18379,25040,0.4233,Oceania,0.18424844346,135,26739,6263176,7036186,3604488,3432249,0,0,0,0,1,1
Austria,2016,AUT,0.21406,0.201,0.219,0.183,0.57905,8747301,4459210,4288096,0,0.301,0.264,0.336,0.778,0.712,0.845,45365.182405,165.97,3687,108.4,1493.73,0.40513425549227,6757,11246,0.3753,Europe,0.143577367372,205,45456,1872447,1758208,976567,784722,0,0,0,1,0,0
Bahamas,2016,BHS,0.23197,0.316,0.244,0.381,0.82832,377930,194446,183477,0,0.433,0.3,0.556,0.844,0.806,0.882,30514.886308,74.03,2062,62.63,666.27,0.32311833171678,192,438,0.3048,Americas,0.133496697502,119,131787,87668,119426,47445,69905,0,1,0,0,0,1
Bangladesh,2016,BGD,0.0469,0.036,0.023,0.05,0.35083,157977153,77928241,80048910,0.1412,0.278,0.161,0.395,0.661,0.632,0.692,1352.032666,33.04,2573,59.6,297.36,0.115569374271279,14957,97922,0.1325,Asia,0.12503069056,0,,7409128,5687178,1792350,4002446,0,0,1,0,0,2
Barbados,2016,BRB,0.21915,0.231,0.147,0.313,0.31193,285796,147896,137902,0.3499,0.429,0.293,0.549,0.818,0.769,0.869,16947.632081,93.86,2926,90.4,844.74,0.288701298701299,135,267,0.3358,Americas,0.135675810077,51,,62632,66019,21741,43163,0,1,0,0,0,2
Belgium,2016,BEL,0.18953,0.221,0.231,0.21,0.97919,11354420,5765616,5588791,0,0.357,0.306,0.406,0.835,0.792,0.88,41912.391995,153.2,3759,100.4,1378.8,0.366799680766161,8255,13663,0.3766,Europe,0.15009287482,162,153378,2152003,2509327,1331857,1173646,0,0,0,1,0,1
Benin,2016,BEN,0.20538,0.096,0.047,0.142,0.46229,10872063,5451503,5420569,0.0736,0.159,0.136,0.181,0.759,0.713,0.807,789.075269,53.96,2734,65.55,485.64,0.177629846378932,996,11238,0.0814,Africa,0.118052423439,100,,2232904,1043718,256221,769721,1,0,0,0,0,2
Botswana,2016,BWA,0.27537,0.189,0.081,0.293,0.67933,2159927,1120211,1039714,0.1852,0.217,0.171,0.263,0.875,0.861,0.889,6953.144156,69.05,2370,67.87,621.45,0.262215189873418,630,1566,0.2869,Africa,0.125651891987,67,,594779,408226,90737,304636,1,0,0,0,0,0
