,Origin,New_value,Country Code
0,Afghanistan,Afghanistan,AFG
126,Albania,Albania,ALB
252,Algeria,Algeria,DZA
41130,American Samoa,American Samoa,ASM
378,Andorra,Andorra,AND
504,Angola,Angola,AGO
109515,Anguilla,Anguilla,AIA
630,Antigua and Barbuda,Antigua and Barbuda,ATG
41370,Arab World,Arab World,
756,Argentina,Argentina,ARG
882,Armenia,Armenia,ARM
41550,Aruba,Aruba,ABW
1008,Australia,Australia,AUS
1134,Austria,Austria,AUT
1260,Azerbaijan,Azerbaijan,AZE
1386,Bahamas,Bahamas,BHS
41790,"Bahamas, The",Bahamas,BHS
1512,Bahrain,Bahrain,BHR
1638,Bangladesh,Bangladesh,BGD
1764,Barbados,Barbados,BRB
1890,Belarus,Belarus,BLR
2016,Belgium,Belgium,BEL
2142,Belize,Belize,BLZ
2268,Benin,Benin,BEN
42270,Bermuda,Bermuda,BMU
2394,Bhutan,Bhutan,BTN
24690,Bolivia,Bolivia,BOL
2520,Bolivia (Plurinational State of),Bolivia,BOL
2646,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
2772,Botswana,Botswana,BWA
2898,Brazil,Brazil,BRA
42630,British Virgin Islands,British Virgin Islands,VGB
24714,Brunei,Brunei,BRN
3024,Brunei Darussalam,Brunei,BRN
3150,Bulgaria,Bulgaria,BGR
3276,Burkina Faso,Burkina Faso,BFA
3402,Burundi,Burundi,BDI
3528,Cabo Verde,Cabo Verde,CPV
3654,Cambodia,Cambodia,KHM
3780,Cameroon,Cameroon,CMR
3906,Canada,Canada,CAN
24756,Cape Verde,Cabo Verde,CPV
43170,Caribbean small states,Caribbean small states,
43230,Cayman Islands,Cayman Islands,CYM
4032,Central African Republic,Central African Republic,CAF
43350,Central Europe and the Baltics,Central Europe and the Baltics,
4158,Chad,Chad,TCD
43470,Channel Islands,Channel Islands,
4284,Chile,Chile,CHL
4410,China,China,CHN
111199,"China, Hong Kong SAR","China, Hong Kong",HKG
111248,"China, Macao SAR","China, Macao",MAC
73314,"China, Taiwan Province of","China, Taiwan",TWN
111297,"China, mainland","China, mainland",CHN
4536,Colombia,Colombia,COL
4662,Comoros,Comoros,COM
4788,Congo,Congo,COG
43770,"Congo, Dem. Rep.","Congo, Dem. Rep.",COD
43830,"Congo, Rep.",Congo,COG
4914,Cook Islands,Cook Islands,COK
5040,Costa Rica,Costa Rica,CRI
24810,Cote d'Ivoire,Cote d'Ivoire,CVI
5166,Croatia,Croatia,HRV
5292,Cuba,Cuba,CUB
44130,Curacao,Curacao,CUW
111718,Curaçao,Curacao,CUW
5418,Cyprus,Cyprus,CYP
24834,Czech Republic,Czech Republic,CZE
5544,Czechia,Czech Republic,CZE
111810,Czechoslovakia,Czechoslovakia,CSK
5670,Côte d'Ivoire,Cote d'Ivoire,CRI
5796,Democratic People's Republic of Korea,North Korea,PRK
24840,Democratic Republic of Congo,"Congo, Dem. Rep.",COM
5922,Democratic Republic of the Congo,"Congo, Dem. Rep.",COM
6048,Denmark,Denmark,DNK
6174,Djibouti,Djibouti,DJI
6300,Dominica,Dominica,DMA
6426,Dominican Republic,Dominican Republic,DOM
44550,Early-demographic dividend,Early-demographic dividend,
44610,East Asia & Pacific,East Asia & Pacific,
